rfq_id,match_id,similarity_score
8aff426d-b8c0-43aa-ad26-835ef4de6129,2624655e-ea07-468a-8da8-2e39c9d1e7f0,0.7
8aff426d-b8c0-43aa-ad26-835ef4de6129,b2bc544a-219d-4899-9fa4-191e3f475649,0.7
8aff426d-b8c0-43aa-ad26-835ef4de6129,267e5bc4-897a-4fc1-97d2-26a45829ba19,0.7
37e624be-b125-464f-85b6-1838530193ef,25c46875-dbeb-4ef4-ad33-7aff8384fb2a,0.7
37e624be-b125-464f-85b6-1838530193ef,99bbb98d-d06d-4633-a68c-9be3bb9f6011,0.7
37e624be-b125-464f-85b6-1838530193ef,2b9db833-2ec8-427e-90f9-3e78078c466e,0.7
b8257184-6307-46ab-b06e-d979336d1263,973d80a1-f1b8-461b-bb25-7d8852968b1c,0.7
b8257184-6307-46ab-b06e-d979336d1263,8fe87807-dae8-4341-94fd-2ab91f176464,0.7
b8257184-6307-46ab-b06e-d979336d1263,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.7
63140d1f-dda8-40fe-8931-bcaba65d5772,11cffc57-44be-4d79-bfd5-97482be566d3,0.7
63140d1f-dda8-40fe-8931-bcaba65d5772,11cffc57-44be-4d79-bfd5-97482be566d3,0.7
63140d1f-dda8-40fe-8931-bcaba65d5772,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.7
63140d1f-dda8-40fe-8931-bcaba65d5772,11cffc57-44be-4d79-bfd5-97482be566d3,0.7
63140d1f-dda8-40fe-8931-bcaba65d5772,11cffc57-44be-4d79-bfd5-97482be566d3,0.7
63140d1f-dda8-40fe-8931-bcaba65d5772,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.7
11cffc57-44be-4d79-bfd5-97482be566d3,63140d1f-dda8-40fe-8931-bcaba65d5772,0.7
11cffc57-44be-4d79-bfd5-97482be566d3,63140d1f-dda8-40fe-8931-bcaba65d5772,0.7
11cffc57-44be-4d79-bfd5-97482be566d3,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.7
11cffc57-44be-4d79-bfd5-97482be566d3,63140d1f-dda8-40fe-8931-bcaba65d5772,0.7
11cffc57-44be-4d79-bfd5-97482be566d3,63140d1f-dda8-40fe-8931-bcaba65d5772,0.7
11cffc57-44be-4d79-bfd5-97482be566d3,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.7
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,63140d1f-dda8-40fe-8931-bcaba65d5772,0.7
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,63140d1f-dda8-40fe-8931-bcaba65d5772,0.7
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,11cffc57-44be-4d79-bfd5-97482be566d3,0.7
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,63140d1f-dda8-40fe-8931-bcaba65d5772,0.7
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,63140d1f-dda8-40fe-8931-bcaba65d5772,0.7
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,11cffc57-44be-4d79-bfd5-97482be566d3,0.7
973d80a1-f1b8-461b-bb25-7d8852968b1c,b8257184-6307-46ab-b06e-d979336d1263,0.7
973d80a1-f1b8-461b-bb25-7d8852968b1c,8fe87807-dae8-4341-94fd-2ab91f176464,0.7
973d80a1-f1b8-461b-bb25-7d8852968b1c,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.7
8fe87807-dae8-4341-94fd-2ab91f176464,b8257184-6307-46ab-b06e-d979336d1263,0.7
